ID,ACTIVATED,IN_REPAIR_SYSTEM,STILL_ALIVE,Lifetime
185,11/6/2018,,TRUE,679
186,4/10/2019,,TRUE,524
187,4/9/2019,,TRUE,525
188,1/23/2019,,TRUE,601
189,4/23/2019,,TRUE,511
190,11/3/2018,,TRUE,682
191,4/15/2019,,TRUE,519
192,7/19/2019,,TRUE,424
193,6/17/2019,,TRUE,456
194,11/2/2018,,TRUE,683
195,1/4/2019,,TRUE,620
196,12/13/2018,,TRUE,642
197,3/25/2019,,TRUE,540
198,7/2/2019,,TRUE,441
199,8/1/2019,,TRUE,411
200,3/25/2019,,TRUE,540
201,7/17/2019,,TRUE,426
202,5/27/2019,,TRUE,477
203,5/30/2019,,TRUE,474
204,3/20/2019,,TRUE,545
205,8/6/2019,,TRUE,406
206,2/26/2019,,TRUE,567
207,5/11/2019,,TRUE,493
208,7/19/2019,,TRUE,424
209,7/22/2019,,TRUE,421
210,11/13/2018,,TRUE,672
211,11/1/2018,,TRUE,684
212,12/18/2018,,TRUE,637
213,7/2/2019,,TRUE,441
214,6/14/2019,,TRUE,459
215,10/3/2018,,TRUE,713
216,9/25/2018,,TRUE,721
217,4/23/2019,,TRUE,511
218,4/12/2019,,TRUE,522
219,6/29/2019,,TRUE,444
220,3/11/2019,,TRUE,554
221,5/7/2019,,TRUE,497
222,5/31/2019,,TRUE,473
223,2/28/2019,,TRUE,565
224,7/5/2019,,TRUE,438
225,10/21/2018,,TRUE,695
226,8/2/2019,,TRUE,410
227,6/27/2019,,TRUE,446
228,4/10/2019,,TRUE,524
229,9/13/2018,,TRUE,733
230,12/19/2018,,TRUE,636
231,6/11/2019,,TRUE,462
232,4/11/2019,,TRUE,523
233,7/4/2019,,TRUE,439
234,1/22/2019,,TRUE,602
235,5/31/2019,,TRUE,473
236,9/28/2018,,TRUE,718
237,10/1/2018,,TRUE,715
238,3/13/2019,,TRUE,552
239,4/10/2019,,TRUE,524
240,4/14/2019,,TRUE,520
241,11/29/2018,,TRUE,656
242,12/26/2018,,TRUE,629
243,3/1/2019,,TRUE,564
244,12/20/2018,,TRUE,635
245,4/8/2019,,TRUE,526
246,3/16/2019,,TRUE,549
247,5/14/2019,,TRUE,490
248,6/4/2019,,TRUE,469
249,9/12/2018,,TRUE,734
250,10/25/2018,,TRUE,691
251,5/3/2019,,TRUE,501
252,4/24/2019,,TRUE,510
253,4/17/2019,,TRUE,517
254,4/9/2019,,TRUE,525
255,1/24/2019,,TRUE,600
256,3/5/2019,,TRUE,560
257,12/5/2018,,TRUE,650
258,9/4/2018,,TRUE,742
259,3/23/2019,,TRUE,542
260,5/25/2019,,TRUE,479
261,7/30/2019,,TRUE,413
262,6/29/2019,,TRUE,444
263,7/8/2019,,TRUE,435
264,6/28/2019,,TRUE,445
265,6/12/2019,,TRUE,461
266,4/5/2019,,TRUE,529
267,6/28/2019,,TRUE,445
268,5/3/2019,,TRUE,501
269,7/19/2019,,TRUE,424
270,4/29/2019,,TRUE,505
271,4/2/2019,,TRUE,532
272,4/17/2019,,TRUE,517
273,6/13/2019,,TRUE,460
274,6/13/2019,,TRUE,460
275,6/26/2019,,TRUE,447
276,6/10/2019,,TRUE,463
277,5/21/2019,,TRUE,483
278,5/19/2019,,TRUE,485
279,6/25/2019,,TRUE,448
280,4/15/2019,,TRUE,519
281,3/1/2019,,TRUE,564
282,5/24/2019,,TRUE,480
283,11/13/2018,,TRUE,672
284,8/5/2019,,TRUE,407
285,7/17/2019,,TRUE,426
286,7/16/2019,,TRUE,427
287,3/11/2019,,TRUE,554
288,11/26/2018,,TRUE,659
289,10/16/2018,,TRUE,700
290,5/21/2019,,TRUE,483
291,5/29/2019,,TRUE,475
292,9/18/2018,,TRUE,728
293,4/15/2019,,TRUE,519
294,4/27/2019,,TRUE,507
295,9/3/2018,,TRUE,743
296,4/10/2019,,TRUE,524
297,9/13/2018,,TRUE,733
298,5/29/2019,,TRUE,475
299,3/26/2019,,TRUE,539
300,5/7/2019,,TRUE,497
301,3/26/2019,,TRUE,539
302,9/17/2018,,TRUE,729
303,10/29/2018,,TRUE,687
304,6/14/2019,,TRUE,459
305,6/5/2019,,TRUE,468
306,4/26/2019,,TRUE,508
307,7/12/2019,,TRUE,431
308,3/4/2019,,TRUE,561
309,1/23/2019,,TRUE,601
310,10/18/2018,,TRUE,698
311,11/5/2018,,TRUE,680
312,7/17/2019,,TRUE,426
313,11/26/2018,,TRUE,659
314,12/27/2018,,TRUE,628
315,11/27/2018,,TRUE,658
316,1/30/2019,,TRUE,594
317,7/3/2019,,TRUE,440
318,11/2/2018,,TRUE,683
319,4/9/2019,,TRUE,525
320,2/8/2019,,TRUE,585
321,3/11/2019,,TRUE,554
322,6/26/2019,,TRUE,447
323,3/27/2019,,TRUE,538
324,7/19/2019,,TRUE,424
325,5/30/2019,,TRUE,474
326,7/3/2019,,TRUE,440
327,10/2/2018,,TRUE,714
328,9/13/2018,,TRUE,733
329,11/15/2018,,TRUE,670
330,9/6/2018,,TRUE,740
331,9/3/2018,,TRUE,743
332,12/6/2018,,TRUE,649
333,9/7/2018,,TRUE,739
334,7/15/2019,,TRUE,428
335,3/7/2019,,TRUE,558
